"full_name","rushing_yds"
"114739","Adrian Peterson",1
"114740","Adrian Peterson",2
"114741","Adrian Peterson",1
"114742","Adrian Peterson",2
"114743","Adrian Peterson",2
"114744","Adrian Peterson",0
"114745","Adrian Peterson",9
"114746","Adrian Peterson",1
"114747","Adrian Peterson",7
"114748","Adrian Peterson",2
"114749","Adrian Peterson",0
"114750","Adrian Peterson",11
"114751","Adrian Peterson",4
"114752","Adrian Peterson",2
"114753","Adrian Peterson",-1
"114754","Adrian Peterson",7
"114755","Adrian Peterson",2
"114756","Adrian Peterson",3
"114757","Adrian Peterson",3
"114758","Adrian Peterson",2
"114759","Adrian Peterson",2
"114760","Adrian Peterson",7
"114761","Adrian Peterson",3
"114762","Adrian Peterson",5
"114763","Adrian Peterson",12
"114764","Adrian Peterson",-1
"114765","Adrian Peterson",-1
"114766","Adrian Peterson",-2
"114767","Adrian Peterson",1
"114768","Adrian Peterson",1
"114769","Adrian Peterson",5
"114770","Adrian Peterson",2
"114771","Adrian Peterson",0
"114772","Adrian Peterson",3
"114773","Adrian Peterson",3
"114774","Adrian Peterson",-1
"114775","Adrian Peterson",-1
"114776","Adrian Peterson",0
"114777","Adrian Peterson",0
"114778","Adrian Peterson",0
"114779","Adrian Peterson",6
"114780","Adrian Peterson",2
"114781","Adrian Peterson",1
"114782","Adrian Peterson",5
"114783","Adrian Peterson",15
"114784","Adrian Peterson",0
"114785","Adrian Peterson",6
"114786","Adrian Peterson",13
"114787","Adrian Peterson",-2
"114788","Adrian Peterson",4
"114789","Adrian Peterson",5
"114790","Adrian Peterson",4
"114791","Adrian Peterson",4
"114792","Adrian Peterson",-1
"114793","Adrian Peterson",7
"114794","Adrian Peterson",26
"114795","Adrian Peterson",2
"114796","Adrian Peterson",4
"114797","Adrian Peterson",3
"114798","Adrian Peterson",2
"114799","Adrian Peterson",1
"114800","Adrian Peterson",1
"114801","Adrian Peterson",5
"114802","Adrian Peterson",6
"114803","Adrian Peterson",5
"114804","Adrian Peterson",11
"114805","Adrian Peterson",3
"114806","Adrian Peterson",2
"114807","Adrian Peterson",4
"114808","Adrian Peterson",0
"114809","Adrian Peterson",5
"114810","Adrian Peterson",1
"114811","Adrian Peterson",0
"114812","Adrian Peterson",58
"114813","Adrian Peterson",-2
"114814","Adrian Peterson",3
"114815","Adrian Peterson",3
"114816","Adrian Peterson",-1
"114817","Adrian Peterson",3
"114818","Adrian Peterson",-3
"114819","Adrian Peterson",15
"114820","Adrian Peterson",3
"114821","Adrian Peterson",-2
"114822","Adrian Peterson",4
"114823","Adrian Peterson",9
"114824","Adrian Peterson",1
"114825","Adrian Peterson",2
"114826","Adrian Peterson",0
"114827","Adrian Peterson",2
"114828","Adrian Peterson",0
"114829","Adrian Peterson",1
"114830","Adrian Peterson",5
"114831","Adrian Peterson",19
"114832","Adrian Peterson",5
"114833","Adrian Peterson",6
"114834","Adrian Peterson",2
"114835","Adrian Peterson",1
"114836","Adrian Peterson",0
"114837","Adrian Peterson",4
"114838","Adrian Peterson",1
"114839","Adrian Peterson",-2
"114840","Adrian Peterson",7
"114841","Adrian Peterson",1
"114842","Adrian Peterson",1
"114843","Adrian Peterson",1
"114844","Adrian Peterson",4
"114845","Adrian Peterson",33
"114846","Adrian Peterson",2
"114847","Adrian Peterson",-1
"114848","Adrian Peterson",5
"114849","Adrian Peterson",3
"114850","Adrian Peterson",3
"114851","Adrian Peterson",2
"114852","Adrian Peterson",-1
"114853","Adrian Peterson",7
"114854","Adrian Peterson",21
"114855","Adrian Peterson",0
"114856","Adrian Peterson",2
"114857","Adrian Peterson",1
"114858","Adrian Peterson",0
"114859","Adrian Peterson",4
"114860","Adrian Peterson",8
"114861","Adrian Peterson",4
"114862","Adrian Peterson",2
"114863","Adrian Peterson",13
"114864","Adrian Peterson",0
"114865","Adrian Peterson",3
"114866","Adrian Peterson",2
"114867","Adrian Peterson",22
"114868","Adrian Peterson",-1
"114869","Adrian Peterson",0
"114870","Adrian Peterson",43
"114871","Adrian Peterson",27
"114872","Adrian Peterson",1
"114873","Adrian Peterson",1
"114874","Adrian Peterson",7
"114875","Adrian Peterson",1
"114876","Adrian Peterson",-4
"114877","Adrian Peterson",1
"114878","Adrian Peterson",1
"114879","Adrian Peterson",9
"114880","Adrian Peterson",1
"114881","Adrian Peterson",0
"114882","Adrian Peterson",4
"114883","Adrian Peterson",16
"114884","Adrian Peterson",2
"114885","Adrian Peterson",0
"114886","Adrian Peterson",11
"114887","Adrian Peterson",7
"114888","Adrian Peterson",10
"114889","Adrian Peterson",1
"114890","Adrian Peterson",1
"114891","Adrian Peterson",-2
"114892","Adrian Peterson",1
"114893","Adrian Peterson",13
"114894","Adrian Peterson",4
"114895","Adrian Peterson",1
"114896","Adrian Peterson",3
"114897","Adrian Peterson",-2
"114898","Adrian Peterson",1
"114899","Adrian Peterson",-1
"114900","Adrian Peterson",0
"114901","Adrian Peterson",3
"114902","Adrian Peterson",-8
"114903","Adrian Peterson",4
"114904","Adrian Peterson",0
"114905","Adrian Peterson",15
"114906","Adrian Peterson",8
"114907","Adrian Peterson",1
"114908","Adrian Peterson",3
"114909","Adrian Peterson",-3
"114910","Adrian Peterson",11
"114911","Adrian Peterson",1
"114912","Adrian Peterson",0
"114913","Adrian Peterson",7
"114914","Adrian Peterson",2
"114915","Adrian Peterson",0
"114916","Adrian Peterson",6
"114917","Adrian Peterson",5
"114918","Adrian Peterson",9
"114919","Adrian Peterson",-1
"114920","Adrian Peterson",3
"114921","Adrian Peterson",0
"114922","Adrian Peterson",5
"114923","Adrian Peterson",3
"114924","Adrian Peterson",3
"114925","Adrian Peterson",8
"114926","Adrian Peterson",5
"114927","Adrian Peterson",0
"114928","Adrian Peterson",-1
"114929","Adrian Peterson",0
"114930","Adrian Peterson",4
"114931","Adrian Peterson",1
"114932","Adrian Peterson",11
"114933","Adrian Peterson",0
"114934","Adrian Peterson",1
"114935","Adrian Peterson",-5
"114936","Adrian Peterson",0
"114937","Adrian Peterson",4
"114938","Adrian Peterson",-1
"114939","Adrian Peterson",4
"114940","Adrian Peterson",3
"114941","Adrian Peterson",3
"114942","Adrian Peterson",-3
"114943","Adrian Peterson",6
"114944","Adrian Peterson",3
"114945","Adrian Peterson",15
"114946","Adrian Peterson",-1
"114947","Adrian Peterson",3
"114948","Adrian Peterson",11
"114949","Adrian Peterson",2
"114950","Adrian Peterson",11
"114951","Adrian Peterson",0
"114952","Adrian Peterson",3
"114953","Adrian Peterson",2
"114954","Adrian Peterson",5
"114955","Adrian Peterson",2
"114956","Adrian Peterson",1
"114957","Adrian Peterson",0
"114958","Adrian Peterson",5
"114959","Adrian Peterson",6
"114960","Adrian Peterson",2
"114961","Adrian Peterson",8
"114962","Adrian Peterson",2
"114963","Adrian Peterson",1
"114964","Adrian Peterson",3
"114965","Adrian Peterson",3
"114966","Adrian Peterson",-1
"114967","Adrian Peterson",3
"114968","Adrian Peterson",1
"114969","Adrian Peterson",2
"114970","Adrian Peterson",-1
"114971","Adrian Peterson",7
"114972","Adrian Peterson",10
"114973","Adrian Peterson",4
"114974","Adrian Peterson",4
"114975","Adrian Peterson",2
"114976","Adrian Peterson",1
"114977","Adrian Peterson",-2
"114978","Adrian Peterson",-1
"114979","Adrian Peterson",7
"114980","Adrian Peterson",2
"114981","Adrian Peterson",2
"114982","Adrian Peterson",7
"114983","Adrian Peterson",6
"114984","Adrian Peterson",7
"114985","Adrian Peterson",0
"114986","Adrian Peterson",10
"114987","Adrian Peterson",1
"114988","Adrian Peterson",7
"114989","Adrian Peterson",1
"114990","Adrian Peterson",9
"114991","Adrian Peterson",9
"114992","Adrian Peterson",5
"114993","Adrian Peterson",5
"114994","Adrian Peterson",7
"114995","Adrian Peterson",-1
"114996","Adrian Peterson",7
"114997","Adrian Peterson",1
"114998","Adrian Peterson",2
"114999","Adrian Peterson",3
"115000","Adrian Peterson",0
"115001","Adrian Peterson",-5
"115002","Adrian Peterson",23
"115003","Adrian Peterson",0
"115004","Adrian Peterson",8
"115005","Adrian Peterson",3
"115006","Adrian Peterson",1
"115007","Adrian Peterson",2
"115008","Adrian Peterson",7
"115009","Adrian Peterson",15
"96082","Adrian Peterson",3
"96083","Adrian Peterson",5
"96084","Adrian Peterson",-1
"96085","Adrian Peterson",2
"96086","Adrian Peterson",14
"96087","Adrian Peterson",0
"96088","Adrian Peterson",6
"96089","Adrian Peterson",2
"96090","Adrian Peterson",9
"96091","Adrian Peterson",4
"96092","Adrian Peterson",9
"96093","Adrian Peterson",3
"96094","Adrian Peterson",1
"96095","Adrian Peterson",13
"96096","Adrian Peterson",6
"96097","Adrian Peterson",1
"96098","Adrian Peterson",1
"96099","Adrian Peterson",6
"96100","Adrian Peterson",3
"96101","Adrian Peterson",2
"96102","Adrian Peterson",2
"96103","Adrian Peterson",15
"96104","Adrian Peterson",7
"96105","Adrian Peterson",13
"96106","Adrian Peterson",-3
"96107","Adrian Peterson",1
"96108","Adrian Peterson",2
"96109","Adrian Peterson",9
"96110","Adrian Peterson",2
"96111","Adrian Peterson",5
"96112","Adrian Peterson",6
"96113","Adrian Peterson",1
"96114","Adrian Peterson",0
"96115","Adrian Peterson",2
"96116","Adrian Peterson",1
"96117","Adrian Peterson",3
"96118","Adrian Peterson",23
"96119","Adrian Peterson",12
"96120","Adrian Peterson",-1
"96121","Adrian Peterson",18
"96122","Adrian Peterson",2
"96123","Adrian Peterson",8
"96124","Adrian Peterson",6
"96125","Adrian Peterson",6
"96126","Adrian Peterson",0
"96127","Adrian Peterson",3
"96128","Adrian Peterson",0
"96129","Adrian Peterson",-2
"96130","Adrian Peterson",5
"96131","Adrian Peterson",2
"96132","Adrian Peterson",3
"96133","Adrian Peterson",1
"96134","Adrian Peterson",19
"96135","Adrian Peterson",-2
"96136","Adrian Peterson",11
"96137","Adrian Peterson",5
"96138","Adrian Peterson",5
"96139","Adrian Peterson",1
"96140","Adrian Peterson",6
"96141","Adrian Peterson",-1
"96142","Adrian Peterson",2
"96143","Adrian Peterson",-3
"96144","Adrian Peterson",1
"96145","Adrian Peterson",80
"96146","Adrian Peterson",1
"96147","Adrian Peterson",8
"96148","Adrian Peterson",6
"96149","Adrian Peterson",0
"96150","Adrian Peterson",10
"96151","Adrian Peterson",2
"96152","Adrian Peterson",4
"96153","Adrian Peterson",1
"96154","Adrian Peterson",15
"96155","Adrian Peterson",4
"96156","Adrian Peterson",2
"96157","Adrian Peterson",0
"96158","Adrian Peterson",6
"96159","Adrian Peterson",2
"96160","Adrian Peterson",1
"96161","Adrian Peterson",0
"96162","Adrian Peterson",-2
"96163","Adrian Peterson",30
"96164","Adrian Peterson",10
"96165","Adrian Peterson",2
"96166","Adrian Peterson",0
"96167","Adrian Peterson",9
"96168","Adrian Peterson",0
"96169","Adrian Peterson",4
"96170","Adrian Peterson",2
"96171","Adrian Peterson",-2
"96172","Adrian Peterson",2
"96173","Adrian Peterson",0
"96174","Adrian Peterson",1
"96175","Adrian Peterson",15
"96176","Adrian Peterson",7
"96177","Adrian Peterson",1
"96178","Adrian Peterson",12
"96179","Adrian Peterson",3
"96180","Adrian Peterson",4
"96181","Adrian Peterson",2
"96182","Adrian Peterson",4
"96183","Adrian Peterson",2
"96184","Adrian Peterson",2
"96185","Adrian Peterson",1
"96186","Adrian Peterson",3
"96187","Adrian Peterson",2
"96188","Adrian Peterson",1
"96189","Adrian Peterson",2
"96190","Adrian Peterson",2
"96191","Adrian Peterson",-1
"96192","Adrian Peterson",2
"96193","Adrian Peterson",6
"96194","Adrian Peterson",2
"96195","Adrian Peterson",5
"96196","Adrian Peterson",0
"96197","Adrian Peterson",9
"96198","Adrian Peterson",3
"96199","Adrian Peterson",2
"96200","Adrian Peterson",4
"96201","Adrian Peterson",1
"96202","Adrian Peterson",5
"96203","Adrian Peterson",2
"96204","Adrian Peterson",7
"96205","Adrian Peterson",4
"96206","Adrian Peterson",10
"96207","Adrian Peterson",14
"96208","Adrian Peterson",2
"96209","Adrian Peterson",4
"96210","Adrian Peterson",5
"96211","Adrian Peterson",4
"96212","Adrian Peterson",-2
"96213","Adrian Peterson",17
"96214","Adrian Peterson",9
"96215","Adrian Peterson",2
"96216","Adrian Peterson",5
"96217","Adrian Peterson",11
"96218","Adrian Peterson",2
"96219","Adrian Peterson",1
"96220","Adrian Peterson",5
"96221","Adrian Peterson",-2
"96222","Adrian Peterson",8
"96223","Adrian Peterson",4
"96224","Adrian Peterson",7
"96225","Adrian Peterson",2
"96226","Adrian Peterson",0
"96227","Adrian Peterson",1
"96228","Adrian Peterson",4
"96229","Adrian Peterson",8
"96230","Adrian Peterson",5
"96231","Adrian Peterson",9
"96232","Adrian Peterson",7
"96233","Adrian Peterson",-1
"96234","Adrian Peterson",5
"96235","Adrian Peterson",1
"96236","Adrian Peterson",3
"96237","Adrian Peterson",8
"96238","Adrian Peterson",-1
"96239","Adrian Peterson",-2
"96240","Adrian Peterson",5
"96241","Adrian Peterson",1
"96242","Adrian Peterson",-2
"96243","Adrian Peterson",4
"96244","Adrian Peterson",9
"96245","Adrian Peterson",2
"96246","Adrian Peterson",5
"96247","Adrian Peterson",6
"96248","Adrian Peterson",3
"96249","Adrian Peterson",0
"96250","Adrian Peterson",4
"96251","Adrian Peterson",2
"96252","Adrian Peterson",7
"96253","Adrian Peterson",11
"96254","Adrian Peterson",0
"96255","Adrian Peterson",0
"96256","Adrian Peterson",5
"96257","Adrian Peterson",4
"96258","Adrian Peterson",30
"96259","Adrian Peterson",2
"96260","Adrian Peterson",1
"96261","Adrian Peterson",6
"96262","Adrian Peterson",-2
"96263","Adrian Peterson",20
"96264","Adrian Peterson",4
"96265","Adrian Peterson",3
"96266","Adrian Peterson",0
"96267","Adrian Peterson",5
"96268","Adrian Peterson",1
"96269","Adrian Peterson",5
"96270","Adrian Peterson",1
"96271","Adrian Peterson",-1
"96272","Adrian Peterson",5
"96273","Adrian Peterson",5
"96274","Adrian Peterson",-3
"96275","Adrian Peterson",0
"96276","Adrian Peterson",0
"96277","Adrian Peterson",-2
"96278","Adrian Peterson",10
"96279","Adrian Peterson",0
"96280","Adrian Peterson",1
"96281","Adrian Peterson",25
"96282","Adrian Peterson",-2
"96283","Adrian Peterson",2
"96284","Adrian Peterson",3
"96285","Adrian Peterson",2
"96286","Adrian Peterson",3
"96287","Adrian Peterson",10
"96288","Adrian Peterson",11
"96289","Adrian Peterson",-4
"96290","Adrian Peterson",3
"96291","Adrian Peterson",3
"96292","Adrian Peterson",15
"96293","Adrian Peterson",5
"96294","Adrian Peterson",8
"96295","Adrian Peterson",5
"96296","Adrian Peterson",3
"96297","Adrian Peterson",14
"96298","Adrian Peterson",1
"96299","Adrian Peterson",6
"96300","Adrian Peterson",-1
"96301","Adrian Peterson",-3
"96302","Adrian Peterson",6
"96303","Adrian Peterson",-1
"96304","Adrian Peterson",2
"96305","Adrian Peterson",2
"96306","Adrian Peterson",3
"96307","Adrian Peterson",13
"96308","Adrian Peterson",6
"96309","Adrian Peterson",9
"96310","Adrian Peterson",6
"96311","Adrian Peterson",5
"96312","Adrian Peterson",4
"96313","Adrian Peterson",7
"96314","Adrian Peterson",43
"96315","Adrian Peterson",-1
"96316","Adrian Peterson",1
"96317","Adrian Peterson",0
"96318","Adrian Peterson",0
"96319","Adrian Peterson",7
"96320","Adrian Peterson",2
"96321","Adrian Peterson",3
"96322","Adrian Peterson",-4
"96323","Adrian Peterson",3
"96324","Adrian Peterson",5
"96325","Adrian Peterson",0
"96326","Adrian Peterson",2
"96327","Adrian Peterson",6
"96328","Adrian Peterson",2
"96329","Adrian Peterson",5
"96330","Adrian Peterson",2
"96331","Adrian Peterson",4
"96332","Adrian Peterson",-1
"96333","Adrian Peterson",3
"96334","Adrian Peterson",15
"96335","Adrian Peterson",23
"96336","Adrian Peterson",1
"96337","Adrian Peterson",-1
"96338","Adrian Peterson",1
"96339","Adrian Peterson",18
"96340","Adrian Peterson",9
"96341","Adrian Peterson",3
"96342","Adrian Peterson",7
"96343","Adrian Peterson",-4
"96344","Adrian Peterson",-1
"96345","Adrian Peterson",27
"96346","Adrian Peterson",1
"96347","Adrian Peterson",2
"96348","Adrian Peterson",2
"96349","Adrian Peterson",0
"96350","Adrian Peterson",2
"96351","Adrian Peterson",1
"96352","Adrian Peterson",10
"96353","Adrian Peterson",-6
"96354","Adrian Peterson",2
"96355","Adrian Peterson",0
"96356","Adrian Peterson",0
"96357","Adrian Peterson",1
"96358","Adrian Peterson",3
"96359","Adrian Peterson",9
"96360","Adrian Peterson",3
"96361","Adrian Peterson",6
"96362","Adrian Peterson",-6
"96363","Adrian Peterson",5
"96364","Adrian Peterson",3
"90734","Adrian Peterson",14
"90735","Adrian Peterson",3
"90736","Adrian Peterson",-2
"90737","Adrian Peterson",2
"90738","Adrian Peterson",1
"90739","Adrian Peterson",2
"90740","Adrian Peterson",5
"90741","Adrian Peterson",3
"90742","Adrian Peterson",46
"90743","Adrian Peterson",3
"90744","Adrian Peterson",4
"90745","Adrian Peterson",5
"90746","Adrian Peterson",7
"90747","Adrian Peterson",5
"90748","Adrian Peterson",2
"90749","Adrian Peterson",-2
"90750","Adrian Peterson",11
"90751","Adrian Peterson",10
"90752","Adrian Peterson",2
"90753","Adrian Peterson",-1
"90754","Adrian Peterson",12
"90755","Adrian Peterson",2
"90756","Adrian Peterson",4
"90757","Adrian Peterson",1
"90758","Adrian Peterson",-3
"90759","Adrian Peterson",12
"90760","Adrian Peterson",4
"90761","Adrian Peterson",0
"90762","Adrian Peterson",1
"90763","Adrian Peterson",19
"90764","Adrian Peterson",9
"90765","Adrian Peterson",1
"90766","Adrian Peterson",6
"90767","Adrian Peterson",5
"90768","Adrian Peterson",-3
"90769","Adrian Peterson",9
"90770","Adrian Peterson",5
"90771","Adrian Peterson",4
"90772","Adrian Peterson",-1
"90773","Adrian Peterson",7
"90774","Adrian Peterson",4
"90775","Adrian Peterson",3
"90776","Adrian Peterson",1
"90777","Adrian Peterson",4
"90778","Adrian Peterson",43
"90779","Adrian Peterson",0
"90780","Adrian Peterson",7
"90781","Adrian Peterson",6
"90782","Adrian Peterson",1
"90783","Adrian Peterson",1
"90784","Adrian Peterson",6
"90785","Adrian Peterson",1
"90786","Adrian Peterson",0
"90787","Adrian Peterson",2
"90788","Adrian Peterson",6
"90789","Adrian Peterson",-1
"90790","Adrian Peterson",2
"90791","Adrian Peterson",-4
"90792","Adrian Peterson",4
"90793","Adrian Peterson",3
"90794","Adrian Peterson",14
"90795","Adrian Peterson",5
"90796","Adrian Peterson",7
"90797","Adrian Peterson",1
"90798","Adrian Peterson",5
"90799","Adrian Peterson",4
"90800","Adrian Peterson",4
"90801","Adrian Peterson",-2
"90802","Adrian Peterson",-1
"90803","Adrian Peterson",3
"90804","Adrian Peterson",5
"90805","Adrian Peterson",1
"90806","Adrian Peterson",4
"90807","Adrian Peterson",4
"90808","Adrian Peterson",1
"90809","Adrian Peterson",0
"90810","Adrian Peterson",6
"90811","Adrian Peterson",1
"90812","Adrian Peterson",6
"90813","Adrian Peterson",0
"90814","Adrian Peterson",5
"90815","Adrian Peterson",4
"90816","Adrian Peterson",11
"90817","Adrian Peterson",3
"90818","Adrian Peterson",4
"90819","Adrian Peterson",24
"90820","Adrian Peterson",1
"90821","Adrian Peterson",0
"90822","Adrian Peterson",-2
"90823","Adrian Peterson",14
"90824","Adrian Peterson",1
"90825","Adrian Peterson",3
"90826","Adrian Peterson",11
"90827","Adrian Peterson",12
"90828","Adrian Peterson",1
"90829","Adrian Peterson",6
"90830","Adrian Peterson",6
"90831","Adrian Peterson",1
"90832","Adrian Peterson",-1
"90833","Adrian Peterson",-1
"90834","Adrian Peterson",3
"90835","Adrian Peterson",0
"90836","Adrian Peterson",-1
"90837","Adrian Peterson",5
"90838","Adrian Peterson",6
"90839","Adrian Peterson",2
"90840","Adrian Peterson",4
"90841","Adrian Peterson",3
"90842","Adrian Peterson",0
"90843","Adrian Peterson",2
"90844","Adrian Peterson",1
"90845","Adrian Peterson",2
"90846","Adrian Peterson",5
"90847","Adrian Peterson",0
"90848","Adrian Peterson",4
"90849","Adrian Peterson",2
"90850","Adrian Peterson",3
"90851","Adrian Peterson",-1
"90852","Adrian Peterson",8
"90853","Adrian Peterson",8
"90854","Adrian Peterson",4
"90855","Adrian Peterson",3
"90856","Adrian Peterson",-1
"90857","Adrian Peterson",4
"90858","Adrian Peterson",9
"90859","Adrian Peterson",2
"90860","Adrian Peterson",1
"90861","Adrian Peterson",11
"90862","Adrian Peterson",1
"90863","Adrian Peterson",10
"90864","Adrian Peterson",1
"90865","Adrian Peterson",2
"90866","Adrian Peterson",29
"90867","Adrian Peterson",5
"90868","Adrian Peterson",-1
"90869","Adrian Peterson",5
"90870","Adrian Peterson",6
"90871","Adrian Peterson",25
"90872","Adrian Peterson",54
"90873","Adrian Peterson",-5
"90874","Adrian Peterson",3
"90875","Adrian Peterson",1
"90876","Adrian Peterson",3
"90877","Adrian Peterson",7
"90878","Adrian Peterson",3
"90879","Adrian Peterson",0
"90880","Adrian Peterson",0
"90881","Adrian Peterson",-5
"90882","Adrian Peterson",2
"90883","Adrian Peterson",2
"90884","Adrian Peterson",1
"90885","Adrian Peterson",0
"90886","Adrian Peterson",4
"90887","Adrian Peterson",10
"90888","Adrian Peterson",9
"90889","Adrian Peterson",15
"90890","Adrian Peterson",1
"90891","Adrian Peterson",9
"90892","Adrian Peterson",-1
"90893","Adrian Peterson",9
"90894","Adrian Peterson",6
"90895","Adrian Peterson",2
"90896","Adrian Peterson",1
"90897","Adrian Peterson",5
"90898","Adrian Peterson",1
"90899","Adrian Peterson",12
"90900","Adrian Peterson",3
"90901","Adrian Peterson",2
"90902","Adrian Peterson",1
"90903","Adrian Peterson",5
"90904","Adrian Peterson",3
"90905","Adrian Peterson",13
"90906","Adrian Peterson",1
"90907","Adrian Peterson",6
"90908","Adrian Peterson",0
"90909","Adrian Peterson",9
"90910","Adrian Peterson",6
"90911","Adrian Peterson",-6
"90912","Adrian Peterson",3
